journal_no,journal_id,journal_name,journal_accreditation,journal_url
1,/journals/detail/?id=665,Gadjah Mada International Journal of Business (GamaIJB),S1,https://jurnal.ugm.ac.id/gamaijb
2,/journals/detail/?id=2113,Journal on Mathematics Education,S1,http://ejournal.unsri.ac.id/index.php/jme
3,/journals/detail/?id=683,HAYATI Journal of Biosciences,S1,http://journal.ipb.ac.id/index.php/hayati/
4,/journals/detail/?id=671,Jurnal Pendidikan IPA Indonesia (Indonesian Journal of Science Education),S1,http://journal.unnes.ac.id/nju/index.php/jpii
5,/journals/detail/?id=3203,Operations and Supply Chain Management: An International Journal,S1,http://journal.oscm-forum.org/
6,/journals/detail/?id=693,International Journal of Electrical and Computer Engineering,S1,http://ijece.iaescore.com/index.php/IJECE
7,/journals/detail/?id=696,"International Journal on Advanced Science, Engineering and Information Technology (IJASEIT)",S1,http://ijaseit.insightsociety.org/
8,/journals/detail/?id=949,Kesmas: National Public Health Journal,S1,http://journal.fkm.ui.ac.id/kesmas/issue/archive
9,/journals/detail/?id=690,International Journal of Power Electronics and Drive Systems,S1,http://ijpeds.iaescore.com/index.php/IJPEDS
10,/journals/detail/?id=1103,Buletin Ekonomi Moneter dan Perbankan,S1,https://www.bmeb-bi.org/index.php/BEMP/
11,/journals/detail/?id=3794,Indonesian Journal of Science and Technology,S1,http://ejournal.upi.edu/index.php/ijost/
12,/journals/detail/?id=668,Indonesian Journal of Islam and Muslim Societies,S1,http://ijims.iainsalatiga.ac.id
13,/journals/detail/?id=1099,IJAL (Indonesian Journal of Applied Linguistics),S1,http://ejournal.upi.edu/index.php/IJAL
14,/journals/detail/?id=664,TELKOMNIKA (Telecommunication Computing Electronics and Control),S1,http://journal.uad.ac.id/index.php/telkomnika
15,/journals/detail/?id=681,Bulletin of Electrical Engineering and Informatics,S1,http://beei.org/index.php/EEI
16,/journals/detail/?id=678,Journal of the Indonesian Tropical Animal Agriculture,S1,http://ejournal.undip.ac.id/index.php/jitaa
17,/journals/detail/?id=3539,International Journal of Evaluation and Research in Education (IJERE),S1,http://ijere.iaescore.com/index.php/IJERE
18,/journals/detail/?id=1266,Forest and Society,S1,http://journal.unhas.ac.id/index.php/fs/index
19,/journals/detail/?id=694,Biodiversitas : Journal of Biological Diversity,S1,http://biodiversitas.mipa.uns.ac.id/
20,/journals/detail/?id=703,Jurnal Cakrawala Pendidikan,S1,http://journal.uny.ac.id/index.php/cp
21,/journals/detail/?id=783,ILMU KELAUTAN: Indonesian Journal of Marine Sciences,S1,http://ejournal.undip.ac.id/index.php/ijms
22,/journals/detail/?id=1322,QIJIS (Qudus International Journal Of Islamic Studies),S1,http://journal.stainkudus.ac.id/index.php/QIJIS
