journal_name,journal_url,journal_accreditation
"Indonesian Journal of Electrical Engineering and Computer Science","http://ijeecs.iaescore.com/index.php/IJEECS","S1 Accredited"
"MAKARA of Science Series","http://journal.ui.ac.id/index.php/science","S1 Accredited"
"Gadjah Mada International Journal of Business (GamaIJB)","https://jurnal.ugm.ac.id/gamaijb","S1 Accredited"
"Bestuur","https://jurnal.uns.ac.id/bestuur/index","S1 Accredited"
"Jurnal Cakrawala Pendidikan","http://journal.uny.ac.id/index.php/cp","S1 Accredited"
"Indonesian Journal of Science and Technology","http://ejournal.upi.edu/index.php/ijost/","S1 Accredited"
"QIJIS (Qudus International Journal Of Islamic Studies)","http://journal.stainkudus.ac.id/index.php/QIJIS","S1 Accredited"
"Operations and Supply Chain Management: An International Journal","http://journal.oscm-forum.org/","S1 Accredited"
"International Journal of Evaluation and Research in Education (IJERE)","http://ijere.iaescore.com/index.php/IJERE","S1 Accredited"
"Journal of Robotics and Control (JRC)","http://journal.umy.ac.id/index.php/jrc","S1 Accredited"
"Journal of ICT Research and Applications","https://journals.itb.ac.id/index.php/jictra","S1 Accredited"
"Al-Jami'ah: Journal of Islamic Studies","http://www.aljamiah.or.id","S1 Accredited"
"International Journal of Renewable Energy Development : JRED","http://ejournal.undip.ac.id/index.php/ijred/index","S1 Accredited"
"Bali Medical Journal","http://www.balimedicaljournal.id","S1 Accredited"
"Sriwijaya Law Review","http://journal.fh.unsri.ac.id/index.php/sriwijayalawreview/index","S1 Accredited"
"Jurnal Ilmiah Islam Futura","https://jurnal.ar-raniry.ac.id/index.php/islamfutura","S1 Accredited"
"Journal of Indonesian Legal Studies","https://journal.unnes.ac.id/sju/index.php/jils","S1 Accredited"
"Geoplanning: Journal of Geomatics and Planning","http://ejournal.undip.ac.id/index.php/geoplanning/","S1 Accredited"
"Ahkam: Jurnal Ilmu Syariah","http://journal.uinjkt.ac.id/index.php/ahkam","S1 Accredited"
"JURIS (Jurnal Ilmiah Syariah)","http://ecampus.iainbatusangkar.ac.id/ojs/index.php/Juris","S1 Accredited"
"Journal of Southeast Asian Human Rights","https://jurnal.unej.ac.id/index.php/JSEAHR","S1 Accredited"
"Indonesian Journal of Islam and Muslim Societies","http://ijims.iainsalatiga.ac.id","S1 Accredited"
"Science and Technology Indonesia","http://sciencetechindonesia.com/index.php/jsti","S1 Accredited"
"Belitung Nursing Journal","http://belitungraya.org/BRP/index.php/bnj","S1 Accredited"
"Islamic Guidance and Counseling Journal","https://journal.iaimnumetrolampung.ac.id/index.php/igcj","S1 Accredited"
"Psikohumaniora: Jurnal Penelitian Psikologi","https://journal.walisongo.ac.id/index.php/Psikohumaniora","S1 Accredited"
"Jurnal Ilmu Ternak dan Veteriner","http://medpub.litbang.pertanian.go.id/index.php/jitv","S1 Accredited"
"TELKOMNIKA (Telecommunication Computing Electronics and Control)","http://journal.uad.ac.id/index.php/telkomnika","S1 Accredited"
"Journal of Indonesian Islam","http://jiis.uinsby.ac.id/index.php/JIIs/index","S1 Accredited"
"SAMARAH : Jurnal Hukum Keluarga dan Hukum Islam","https://jurnal.ar-raniry.ac.id/index.php/samarah","S1 Accredited"
"Biodiversitas : Journal of Biological Diversity","http://biodiversitas.mipa.uns.ac.id/","S1 Accredited"
"Buletin Ekonomi Moneter dan Perbankan","https://www.bmeb-bi.org/index.php/BEMP/","S1 Accredited"
"ETIKONOMI","http://journal.uinjkt.ac.id/index.php/etikonomi","S1 Accredited"
"Forest and Society","http://journal.unhas.ac.id/index.php/fs/index","S1 Accredited"
"Indonesian Journal of Forestry Research","http://ejournal.forda-mof.org/ejournal-litbang/index.php/IJFR","S1 Accredited"
"JOIV : International Journal on Informatics Visualization","http://joiv.org/","S1 Accredited"
"Journal of Islamic Monetary Economics and Finance","http://www.jimf-bi.org/index.php/JIMF","S1 Accredited"
"Bulletin of Electrical Engineering and Informatics","http://journal.portalgaruda.org/index.php/EEI","S1 Accredited"
"IJAIN (International Journal of Advances in Intelligent Informatics)","http://ijain.org/index.php/IJAIN","S1 Accredited"
"Lex Scientia Law Review","https://journal.unnes.ac.id/sju/index.php/lslr/issue/archive","S1 Accredited"
"AGRARIS: Journal of Agribusiness and Rural Development Research","http://journal.umy.ac.id/index.php/ag","S1 Accredited"
"Journal on Mathematics Education","http://ejournal.unsri.ac.id/index.php/jme","S1 Accredited"
"SAINS TANAH - Journal of Soil Science and Agroclimatology","https://jurnal.uns.ac.id/tanah","S1 Accredited"
"Jurnal Keperawatan Soedirman (The Soedirman Journal of Nursing)","http://jks.fikes.unsoed.ac.id/index.php/jks/issue/archive","S1 Accredited"
"Jurnal Ilmu Sosial dan Ilmu Politik","http://jurnal.ugm.ac.id/jsp","S1 Accredited"
"Studia Islamika","http://journal.uinjkt.ac.id/index.php/studia-islamika","S1 Accredited"
"International Journal of Reconfigurable and Embedded Systems (IJRES)","http://ijres.iaescore.com/index.php/IJRES","S1 Accredited"
"International Journal of Power Electronics and Drive Systems","http://ijpeds.iaescore.com/index.php/IJPEDS","S1 Accredited"
"International Journal of Electrical and Computer Engineering","http://ijece.iaescore.com/index.php/IJECE","S1 Accredited"
"International Journal on Advanced Science, Engineering and Information Technology (IJASEIT)","http://ijaseit.insightsociety.org/","S1 Accredited"
"Al-Ihkam: Jurnal Hukum dan Pranata Sosial","http://ejournal.iainmadura.ac.id/index.php/alihkam/index","S1 Accredited"
"Studies in English Language and Education","http://www.jurnal.unsyiah.ac.id/SiELE","S1 Accredited"
"Journal of Degraded and Mining Lands Management","http://jdmlm.ub.ac.id/index.php/jdmlm/index","S1 Accredited"
"Register: Jurnal Ilmiah Teknologi Sistem Informasi","http://www.journal.unipdu.ac.id/index.php/register/index","S1 Accredited"
"Electronic Journal of Graph Theory and Applications","http://www.ejgta.org/index.php/ejgta/index","S1 Accredited"
"Automotive Experiences","http://journal.unimma.ac.id/index.php/AutomotiveExperiences","S1 Accredited"
"Bulletin of Chemical Reaction Engineering & Catalysis","https://ejournal2.undip.ac.id/index.php/bcrec","S1 Accredited"
"IAES International Journal of Artificial Intelligence","http://ijai.iaescore.com/index.php/IJAI","S1 Accredited"
"CommIT (Communication and Information Technology) Journal","https://journal.binus.ac.id/index.php/commit/index","S1 Accredited"
"Hasanuddin Law Review","http://pasca.unhas.ac.id/ojs/index.php/halrev","S1 Accredited"
"Journal of Mathematical and Fundamental Sciences","https://journals.itb.ac.id/index.php/jmfs","S1 Accredited"
"PADJADJARAN Jurnal Ilmu Hukum (Journal of Law)","http://jurnal.unpad.ac.id/pjih/index","S1 Accredited"
"Interiority","https://interiority.eng.ui.ac.id/index.php/journal","S1 Accredited"
"Nurse Media Journal of Nursing","https://ejournal.undip.ac.id/index.php/medianers/index","S1 Accredited"
"Tropical Animal Science Journal","http://journal.ipb.ac.id/index.php/mediapeternakan","S1 Accredited"
"Indonesian Journal of Chemistry","https://journal.ugm.ac.id/index.php/ijc","S1 Accredited"
"Canrea Journal: Food Technology, Nutritions, and Culinary Journal","http://agritech.unhas.ac.id/ojs/index.php/canrea/index","S1 Accredited"
"Communications in Science and Technology","https://cst.kipmi.or.id","S1 Accredited"
"Jurnal Kesehatan Masyarakat","https://journal.unnes.ac.id/nju/index.php/kemas","S1 Accredited"
"ILMU KELAUTAN: Indonesian Journal of Marine Sciences","http://ejournal.undip.ac.id/index.php/ijms/index","S1 Accredited"
"Paediatrica Indonesiana","https://paediatricaindonesiana.org/","S1 Accredited"
"IJOG : Indonesian Journal on Geoscience","https://ijog.geologi.esdm.go.id/index.php/IJOG","S1 Accredited"
"Journal of Islamic Architecture","http://ejournal.uin-malang.ac.id/index.php/JIA","S1 Accredited"
"Journal of Tropical Life Science : International Journal of Theoretical, Experimental, and Applied Life Sciences","http://jtrolis.ub.ac.id/index.php/jtrolis/index","S1 Accredited"
"Wacana, Journal of the Humanities of Indonesia","http://wacana.ui.ac.id","S1 Accredited"
"Universa Medicina","https://univmed.org/ejurnal/index.php/medicina/index","S1 Accredited"
"Microbiology Indonesia","https://jurnal.permi.or.id/index.php/mionline","S1 Accredited"
"Kesmas: Jurnal Kesehatan Masyarakat Nasional","http://journal.fkm.ui.ac.id/index.php/kesmas","S1 Accredited"
"Indonesian Journal of International Law","https://scholarhub.ui.ac.id/ijil","S1 Accredited"
"Jurnal Keperawatan Indonesia","http://jki.ui.ac.id/index.php/jki","S1 Accredited"
"Indonesian Journal of Applied Linguistics (IJAL)","http://ejournal.upi.edu/index.php/IJAL","S1 Accredited"
"Indonesian Journal of Electical Engineering and Informatics (IJEEI)","http://section.iaesonline.com/index.php/IJEEI/index","S1 Accredited"
"Teosofi: Jurnal Tasawuf dan Pemikiran Islam","http://jurnalfuf.uinsby.ac.id/index.php/teosofi","S1 Accredited"
"INDONESIAN JOURNAL OF APPLIED PHYSICS","https://jurnal.uns.ac.id/ijap","S1 Accredited"
"Dental Journal (Majalah Kedokteran Gigi)","https://e-journal.unair.ac.id/MKG/index","S1 Accredited"
"Paramita: Historical Studies Journal","http://journal.unnes.ac.id/nju/index.php/paramita","S1 Accredited"
"Medical Journal of Indonesia","http://mji.ui.ac.id/journal/index.php/mji","S1 Accredited"
"Indonesian Journal of Geography","http://jurnal.ugm.ac.id/ijg/","S1 Accredited"
"Jurnal Pendidikan IPA Indonesia (Indonesian Journal of Science Education)","http://journal.unnes.ac.id/nju/index.php/jpii","S1 Accredited"
"TEFLIN Journal","http://www.journal.teflin.org","S1 Accredited"
"Journal of the Indonesian Tropical Animal Agriculture","https://ejournal.undip.ac.id/index.php/jitaa/index","S1 Accredited"
"AGRIVITA, Journal of Agricultural Science (AJAS)","https://agrivita.ub.ac.id/index.php/agrivita","S1 Accredited"
"Critical Care and Shock","http://criticalcareshock.org/","S1 Accredited"
"International Journal on Electrical Engineering and Informatics","http://www.ijeei.org/","S1 Accredited"
"International Journal of Technology","https://ijtech.eng.ui.ac.id","S1 Accredited"
"Kukila","http://kukila.org/index.php/KKL","S1 Accredited"
"Indonesian Journal of Biotechnology","https://jurnal.ugm.ac.id/ijbiotech/","S1 Accredited"
"Harmonia: Journal of Arts Research and Education","http://journal.unnes.ac.id/nju/index.php/harmonia","S1 Accredited"
