,journal_name,journal_url,journal_accreditation
0,Aladzkiya International of Education and Sosial (AIoES) Journal,http://aladzkiyajournal.com/index.php/AIoES,? Accredited
0,BJRM (Bongaya Journal of Research in Management),https://ojs.stiem-bongaya.ac.id/index.php/BJRM,? Accredited
0,Indonesian Journal of Electrical Engineering and Computer Science,http://ijeecs.iaescore.com/index.php/IJEECS,S1 Accredited
0,MAKARA of Science Series,http://journal.ui.ac.id/index.php/science,S1 Accredited
0,Gadjah Mada International Journal of Business,http://journal.ugm.ac.id/index.php/gamaijb,S1 Accredited
0,Bestuur,https://jurnal.uns.ac.id/bestuur/index,S1 Accredited
0,Indonesian Journal of Science and Technology,http://ejournal.upi.edu/index.php/ijost/,S1 Accredited
0,QIJIS (Qudus International Journal Of Islamic Studies),http://journal.stainkudus.ac.id/index.php/QIJIS,S1 Accredited
0,International Journal of Evaluation and Research in Education (IJERE),http://ijere.iaescore.com/index.php/IJERE,S1 Accredited
0,Journal of Robotics and Control (JRC),http://journal.umy.ac.id/index.php/jrc,S1 Accredited
0,Islamic Guidance and Counseling Journal,https://journal.iaimnumetrolampung.ac.id/index.php/igcj,S1 Accredited
0,International Journal of Electrical and Computer Engineering,http://ijece.iaescore.com/index.php/IJECE,S1 Accredited
0,Journal on Mathematics Education,http://ejournal.unsri.ac.id/index.php/jme,S1 Accredited
0,International Journal of Power Electronics and Drive Systems,http://ijpeds.iaescore.com/index.php/IJPEDS,S1 Accredited
0,Operations and Supply Chain Management: An International Journal,http://journal.oscm-forum.org/,S1 Accredited
0,"International Journal on Advanced Science, Engineering and Information Technology (IJASEIT)",http://ijaseit.insightsociety.org/,S1 Accredited
0,Studies in English Language and Education,http://www.jurnal.unsyiah.ac.id/SiELE,S1 Accredited
0,Register: Jurnal Ilmiah Teknologi Sistem Informasi,http://www.journal.unipdu.ac.id/index.php/register/index,S1 Accredited
0,Indonesian Journal of Islam and Muslim Societies,http://ijims.iainsalatiga.ac.id,S1 Accredited
0,Al-Ihkam: Jurnal Hukum dan Pranata Sosial,http://ejournal.iainmadura.ac.id/index.php/alihkam/index,S1 Accredited
0,Automotive Experiences,http://journal.unimma.ac.id/index.php/AutomotiveExperiences,S1 Accredited
0,IAES International Journal of Artificial Intelligence,http://ijai.iaescore.com/index.php/IJAI,S1 Accredited
0,International Journal of Renewable Energy Development : JRED,http://ejournal.undip.ac.id/index.php/ijred/index,S1 Accredited
0,Jurnal Ilmiah Islam Futura,https://jurnal.ar-raniry.ac.id/index.php/islamfutura,S1 Accredited
0,TELKOMNIKA (Telecommunication Computing Electronics and Control),http://journal.uad.ac.id/index.php/telkomnika,S1 Accredited
0,JOIV : International Journal on Informatics Visualization,http://joiv.org/index.php/joiv,S1 Accredited
0,Bulletin of Electrical Engineering and Informatics,http://journal.portalgaruda.org/index.php/EEI,S1 Accredited
0,Forest and Society,http://journal.unhas.ac.id/index.php/fs/index,S1 Accredited
0,ETIKONOMI,http://journal.uinjkt.ac.id/index.php/etikonomi,S1 Accredited
0,Indonesian Journal of Agricultural Science,http://ejurnal.litbang.pertanian.go.id/index.php/ijas,S1 Accredited
0,AGRARIS: Journal of Agribusiness and Rural Development Research,http://journal.umy.ac.id/index.php/ag,S1 Accredited
0,Science and Technology Indonesia,http://sciencetechindonesia.com/index.php/jsti,S1 Accredited
0,Biodiversitas : Journal of Biological Diversity,http://biodiversitas.mipa.uns.ac.id/,S1 Accredited
0,Buletin Ekonomi Moneter dan Perbankan,https://www.bmeb-bi.org/index.php/BEMP/,S1 Accredited
0,International Journal of Reconfigurable and Embedded Systems (IJRES),http://ijres.iaescore.com/index.php/IJRES,S1 Accredited
0,Jurnal Keperawatan Soedirman (The Soedirman Journal of Nursing),http://jks.fikes.unsoed.ac.id/index.php/jks/issue/archive,S1 Accredited
0,Journal of Islamic Monetary Economics and Finance,http://www.jimf-bi.org/index.php/JIMF,S1 Accredited
0,JURIS (Jurnal Ilmiah Syariah),http://ecampus.iainbatusangkar.ac.id/ojs/index.php/Juris,S1 Accredited
0,Bulletin of Chemical Reaction Engineering & Catalysis,https://ejournal2.undip.ac.id/index.php/bcrec,S1 Accredited
0,Electronic Journal of Graph Theory and Applications,http://www.ejgta.org/index.php/ejgta/index,S1 Accredited
0,Journal of Southeast Asian Human Rights,https://jurnal.unej.ac.id/index.php/JSEAHR,S1 Accredited
0,SAMARAH : Jurnal Hukum Keluarga dan Hukum Islam,https://jurnal.ar-raniry.ac.id/index.php/samarah,S1 Accredited
0,Hasanuddin Law Review,http://pasca.unhas.ac.id/ojs/index.php/halrev,S1 Accredited
0,Sriwijaya Law Review,http://journal.fh.unsri.ac.id/index.php/sriwijayalawreview/index,S1 Accredited
0,Psikohumaniora: Jurnal Penelitian Psikologi,https://journal.walisongo.ac.id/index.php/Psikohumaniora,S1 Accredited
0,Jurnal Ilmu Sosial dan Ilmu Politik,http://jurnal.ugm.ac.id/jsp,S1 Accredited
0,Journal of Applied Engineering and Technological Science (JAETS),https://journal.yrpipku.com/index.php/jaets,S1 Accredited
0,Belitung Nursing Journal,http://belitungraya.org/BRP/index.php/bnj,S1 Accredited
0,Geoplanning: Journal of Geomatics and Planning,http://ejournal.undip.ac.id/index.php/geoplanning/,S1 Accredited
0,Lex Scientia Law Review,https://journal.unnes.ac.id/sju/index.php/lslr/issue/archive,S1 Accredited
0,Journal of ICT Research and Applications,https://journals.itb.ac.id/index.php/jictra,S1 Accredited
0,SAINS TANAH - Journal of Soil Science and Agroclimatology,https://jurnal.uns.ac.id/tanah,S1 Accredited
0,Al-Jami'ah: Journal of Islamic Studies,http://www.aljamiah.or.id,S1 Accredited
0,Jurnal Keperawatan Indonesia,http://jki.ui.ac.id/index.php/jki,S1 Accredited
0,Studia Islamika,http://journal.uinjkt.ac.id/index.php/studia-islamika,S1 Accredited
0,CommIT (Communication and Information Technology) Journal,https://journal.binus.ac.id/index.php/commit/index,S1 Accredited
0,Bali Medical Journal,http://www.balimedicaljournal.id,S1 Accredited
0,IJAIN (International Journal of Advances in Intelligent Informatics),http://ijain.org/index.php/IJAIN,S1 Accredited
0,Ahkam: Jurnal Ilmu Syariah,http://journal.uinjkt.ac.id/index.php/ahkam,S1 Accredited
0,Jurnal Ilmu Ternak dan Veteriner,http://medpub.litbang.pertanian.go.id/index.php/jitv,S1 Accredited
0,Journal of Indonesian Legal Studies,https://journal.unnes.ac.id/sju/index.php/jils,S1 Accredited
0,Indonesian Journal of Forestry Research,http://ejournal.forda-mof.org/ejournal-litbang/index.php/IJFR,S1 Accredited
0,"Canrea Journal: Food Technology, Nutritions, and Culinary Journal",http://agritech.unhas.ac.id/ojs/index.php/canrea/index,S1 Accredited
0,Interiority,https://interiority.eng.ui.ac.id/index.php/journal,S1 Accredited
0,PADJADJARAN Jurnal Ilmu Hukum (Journal of Law),http://jurnal.unpad.ac.id/pjih/index,S1 Accredited
0,Communications in Science and Technology,https://cst.kipmi.or.id,S1 Accredited
0,Journal of Indonesian Islam,http://jiis.uinsby.ac.id/index.php/JIIs/index,S1 Accredited
0,Journal of Mathematical and Fundamental Sciences,https://journals.itb.ac.id/index.php/jmfs,S1 Accredited
0,Nurse Media Journal of Nursing,https://ejournal.undip.ac.id/index.php/medianers/index,S1 Accredited
0,Indonesian Journal of Chemistry,https://journal.ugm.ac.id/index.php/ijc,S1 Accredited
0,ILMU KELAUTAN: Indonesian Journal of Marine Sciences,http://ejournal.undip.ac.id/index.php/ijms/index,S1 Accredited
0,Tropical Animal Science Journal,http://journal.ipb.ac.id/index.php/mediapeternakan,S1 Accredited
0,Ijtihad : Jurnal Wacana Hukum Islam dan Kemanusiaan,http://ijtihad.iainsalatiga.ac.id,S1 Accredited
0,Journal of Engineering and Technological Sciences,https://journals.itb.ac.id/index.php/jets/index,S1 Accredited
0,Indonesian Journal of Pharmacy,http://indonesianjpharm.farmasi.ugm.ac.id/index.php/3,S1 Accredited
0,Caraka Tani: Journal of Sustainable Agriculture,http://jurnal.uns.ac.id/carakatani/,S1 Accredited
0,Jurnal Kesehatan Masyarakat,https://journal.unnes.ac.id/nju/index.php/kemas,S1 Accredited
0,HAYATI Journal of Biosciences,http://journal.ipb.ac.id/index.php/hayati/,S1 Accredited
0,Economic Journal of Emerging Markets,http://journal.uii.ac.id/index.php/JEP/index,S1 Accredited
0,ACTA MEDICA INDONESIANA,http://www.actamedindones.org/index.php/ijim,S1 Accredited
0,Jurnal Manajemen Hutan Tropika,http://journal.ipb.ac.id/index.php/jmht/,S1 Accredited
0,Jurnal NERS,https://e-journal.unair.ac.id/index.php/JNERS,S1 Accredited
0,Journal of Degraded and Mining Lands Management,http://jdmlm.ub.ac.id/index.php/jdmlm/index,S1 Accredited
0,Brawijaya Law Journal : Journal of Legal Studies,http://lawjournal.ub.ac.id/index.php/law/index,S1 Accredited
0,Atom Indonesia,http://aij.batan.go.id/,S1 Accredited
0,"Journal of Mechatronics, Electrical Power, and Vehicular Technology",http://www.mevjournal.com,S1 Accredited
0,The Indonesian Biomedical Journal,http://inabj.org/index.php/ibj,S1 Accredited
0,Civil Engineering Dimension,http://ced.petra.ac.id,S1 Accredited
0,Indonesian Aquaculture Journal,http://ejournal-balitbang.kkp.go.id/index.php/iaj/index,S1 Accredited
0,Mazahib Jurnal Pemikiran Hukum Islam,https://journal.uinsi.ac.id/index.php/mazahib,S1 Accredited
0,Jurnal Ilmiah Perikanan dan Kelautan,https://e-journal.unair.ac.id/index.php/JIPK,S1 Accredited
0,BIOTROPIA,http://journal.biotrop.org/index.php/biotropia,S1 Accredited
0,Microbiology Indonesia,https://jurnal.permi.or.id/index.php/mionline,S1 Accredited
0,Universa Medicina,https://univmed.org/ejurnal/index.php/medicina/index,S1 Accredited
0,Teosofi: Jurnal Tasawuf dan Pemikiran Islam,http://jurnalfuf.uinsby.ac.id/index.php/teosofi,S1 Accredited
0,INDONESIAN JOURNAL OF APPLIED PHYSICS,https://jurnal.uns.ac.id/ijap,S1 Accredited
0,Dental Journal (Majalah Kedokteran Gigi),https://e-journal.unair.ac.id/MKG/index,S1 Accredited
0,Paramita: Historical Studies Journal,http://journal.unnes.ac.id/nju/index.php/paramita,S1 Accredited
0,Medical Journal of Indonesia,http://mji.ui.ac.id/journal/index.php/mji,S1 Accredited
0,Indonesian Journal of Geography,http://jurnal.ugm.ac.id/ijg/,S1 Accredited
0,Jurnal Pendidikan IPA Indonesia (Indonesian Journal of Science Education),http://journal.unnes.ac.id/nju/index.php/jpii,S1 Accredited
0,TEFLIN Journal,http://www.journal.teflin.org,S1 Accredited
0,Journal of the Indonesian Tropical Animal Agriculture,https://ejournal.undip.ac.id/index.php/jitaa/index,S1 Accredited
0,"AGRIVITA, Journal of Agricultural Science (AJAS)",https://agrivita.ub.ac.id/index.php/agrivita,S1 Accredited
0,Critical Care and Shock,http://criticalcareshock.org/,S1 Accredited
0,International Journal on Electrical Engineering and Informatics,http://www.ijeei.org/,S1 Accredited
0,International Journal of Technology,https://ijtech.eng.ui.ac.id,S1 Accredited
0,Kukila,http://kukila.org/index.php/KKL,S1 Accredited
0,Indonesian Journal of Biotechnology,https://jurnal.ugm.ac.id/ijbiotech/,S1 Accredited
0,Harmonia: Journal of Arts Research and Education,http://journal.unnes.ac.id/nju/index.php/harmonia,S1 Accredited
0,Molekul: Jurnal Ilmiah Kimia,https://ojs.jmolekul.com/ojs/index.php/jm/index,S1 Accredited
0,Journal of Regional and City Planning,http://journals.itb.ac.id/index.php/jpwk,S1 Accredited
0,Paediatrica Indonesiana,https://paediatricaindonesiana.org/,S1 Accredited
0,IJOG : Indonesian Journal on Geoscience,https://ijog.geologi.esdm.go.id/index.php/IJOG,S1 Accredited
0,Journal of Islamic Architecture,http://ejournal.uin-malang.ac.id/index.php/JIA,S1 Accredited
0,Makara Journal of Health Research,https://scholarhub.ui.ac.id/mjhr/,S1 Accredited
0,"Journal of Tropical Life Science : International Journal of Theoretical, Experimental, and Applied Life Sciences",http://jtrolis.ub.ac.id/index.php/jtrolis/index,S1 Accredited
0,"Wacana, Journal of the Humanities of Indonesia",http://wacana.ui.ac.id,S1 Accredited
0,Kesmas: Jurnal Kesehatan Masyarakat Nasional,http://journal.fkm.ui.ac.id/index.php/kesmas,S1 Accredited
0,Indonesian Journal of International Law,https://scholarhub.ui.ac.id/ijil,S1 Accredited
0,Indonesian Journal of Applied Linguistics (IJAL),http://ejournal.upi.edu/index.php/IJAL,S1 Accredited
0,Indonesian Journal of Electical Engineering and Informatics (IJEEI),http://section.iaesonline.com/index.php/IJEEI/index,S1 Accredited
0,REINWARDTIA,http://e-journal.biologi.lipi.go.id/index.php/reinwardtia/index,S1 Accredited
0,ASEAN Journal on Science and Tecnology for Development,http://ajstd.org/index.php/ajstd/index,S1 Accredited
0,Bali Journal of Anesthesiology,http://www.bjoaonline.com/,S1 Accredited
0,JAS (Journal of ASEAN Studies),https://journal.binus.ac.id/index.php/jas/index,S1 Accredited
0,Scientific Contributions Oil and Gas,https://journal.lemigas.esdm.go.id/index.php/SCOG,S1 Accredited
0,Squalen Bulletin of Marine and Fisheries Postharvest and Biotechnology,http://www.bbp4b.litbang.kkp.go.id/squalen-bulletin/index.php/squalen,S1 Accredited
0,International Journal of Public Health Science,http://ijphs.iaescore.com/index.php/IJPHS,S1 Accredited
0,Journal of the Indonesian Mathematical Society,https://jims-a.org,S1 Accredited
0,IJoLE: International Journal of Language Education,http://ojs.unm.ac.id/index.php/ijole,S1 Accredited
0,Journal of Tropical Biodiversity and Biotechnology,https://jurnal.ugm.ac.id/jtbb,S1 Accredited
0,Indonesian Journal of Geography,https://jurnal.ugm.ac.id/ijg,S1 Accredited
0,Indonesian Journal of Biotechnology,https://jurnal.ugm.ac.id/ijbiotech,S1 Accredited
0,Saintek Perikanan : Indonesian Journal of Fisheries Science and Technology,https://ejournal.undip.ac.id/index.php/saintek,S2 Accredited
0,Jurnal Penelitian Pertanian Tanaman Pangan,http://ejurnal.litbang.pertanian.go.id/index.php/jpptp,S2 Accredited
