journal_no,journal_accreditation,journal_url
1,Jurnal Cakrawala Pendidikan,http://journal.uny.ac.id/index.php/cp
2,Operations and Supply Chain Management: An International Journal,http://journal.oscm-forum.org/
3,Journal on Mathematics Education,http://ejournal.unsri.ac.id/index.php/jme
4,IJAL (Indonesian Journal of Applied Linguistics),http://ejournal.upi.edu/index.php/IJAL
5,Buletin Ekonomi Moneter dan Perbankan,https://www.bmeb-bi.org/index.php/BEMP/
6,Jurnal Pendidikan IPA Indonesia (Indonesian Journal of Science Education),http://journal.unnes.ac.id/nju/index.php/jpii
7,"International Journal on Advanced Science, Engineering and Information Technology (IJASEIT)",http://ijaseit.insightsociety.org/
8,Forest and Society,http://journal.unhas.ac.id/index.php/fs/index
9,International Journal of Electrical and Computer Engineering,http://iaesjournal.com/online/index.php/IJECE
10,Journal of the Indonesian Tropical Animal Agriculture,http://ejournal.undip.ac.id/index.php/jitaa
11,Bulletin of Electrical Engineering and Informatics,http://journal.portalgaruda.org/index.php/EEI
12,Journal of Engineering and Technological Sciences,http://journals.itb.ac.id/index.php/jets
13,Gadjah Mada International Journal of Business (GamaIJB),https://jurnal.ugm.ac.id/gamaijb
14,Indonesian Journal of Islam and Muslim Societies,http://ijims.iainsalatiga.ac.id
15,IJAIN (International Journal of Advances in Intelligent Informatics) ,http://ijain.org/index.php/IJAIN
16,Journal of Mathematical and Fundamental Sciences,http://journals.itb.ac.id/index.php/jmfs
17,Indonesian Journal of Science and Technology,http://ejournal.upi.edu/index.php/ijost/
18,International Journal of Evaluation and Research in Education (IJERE),http://ijere.iaescore.com
19,Biodiversitas : Journal of Biolodical Diversity,http://biodiversitas.mipa.uns.ac.id/
20,Studia Islamika,http://journal.uinjkt.ac.id/index.php/studia-islamika
21,Tropical Animal Science Journal,http://journal.ipb.ac.id/index.php/mediapeternakan
22,International Journal of Renewable Energy Development : JRED,http://ejournal.undip.ac.id/index.php/ijred/index
