journal_no,journal_name,journal_accreditation,journal_url
1,Jurnal Cakrawala Pendidikan,S1,http://journal.uny.ac.id/index.php/cp
2,Operations and Supply Chain Management: An International Journal,S1,http://journal.oscm-forum.org/
3,Journal on Mathematics Education,S1,http://ejournal.unsri.ac.id/index.php/jme
4,IJAL (Indonesian Journal of Applied Linguistics),S1,http://ejournal.upi.edu/index.php/IJAL
5,Buletin Ekonomi Moneter dan Perbankan,S1,https://www.bmeb-bi.org/index.php/BEMP/
6,Jurnal Pendidikan IPA Indonesia (Indonesian Journal of Science Education),S1,http://journal.unnes.ac.id/nju/index.php/jpii
7,"International Journal on Advanced Science, Engineering and Information Technology (IJASEIT)",S1,http://ijaseit.insightsociety.org/
8,Forest and Society,S1,http://journal.unhas.ac.id/index.php/fs/index
9,International Journal of Electrical and Computer Engineering,S1,http://iaesjournal.com/online/index.php/IJECE
10,Journal of the Indonesian Tropical Animal Agriculture,S1,http://ejournal.undip.ac.id/index.php/jitaa
11,Bulletin of Electrical Engineering and Informatics,S1,http://journal.portalgaruda.org/index.php/EEI
12,Journal of Engineering and Technological Sciences,S1,http://journals.itb.ac.id/index.php/jets
13,Gadjah Mada International Journal of Business (GamaIJB),S1,https://jurnal.ugm.ac.id/gamaijb
14,Indonesian Journal of Islam and Muslim Societies,S1,http://ijims.iainsalatiga.ac.id
15,IJAIN (International Journal of Advances in Intelligent Informatics) ,S1,http://ijain.org/index.php/IJAIN
16,Journal of Mathematical and Fundamental Sciences,S1,http://journals.itb.ac.id/index.php/jmfs
17,Indonesian Journal of Science and Technology,S1,http://ejournal.upi.edu/index.php/ijost/
18,International Journal of Evaluation and Research in Education (IJERE),S1,http://ijere.iaescore.com
19,Biodiversitas : Journal of Biolodical Diversity,S1,http://biodiversitas.mipa.uns.ac.id/
20,Studia Islamika,S1,http://journal.uinjkt.ac.id/index.php/studia-islamika
21,Tropical Animal Science Journal,S1,http://journal.ipb.ac.id/index.php/mediapeternakan
22,International Journal of Renewable Energy Development : JRED,S1,http://ejournal.undip.ac.id/index.php/ijred/index
23,Indonesian Journal of Electrical Engineering and Computer Science,S1,http://www.iaesjournal.com/online/index.php/IJEECS
24,Jurnal Ilmu Ternak dan Veteriner,S1,http://medpub.litbang.pertanian.go.id/index.php/jitv/index
25,Indonesian Journal of Electrical Engineering and Informatics,S1,http://section.iaesonline.com/index.php/IJEEI/index
26,TELKOMNIKA (Telecommunication Computing Electronics and Control),S1,http://journal.uad.ac.id/index.php/telkomnika
27,IJOG : Indonesian Journal on Geoscience,S1,https://ijog.geologi.esdm.go.id/index.php/IJOG
28,QIJIS (Qudus International Journal Of Islamic Studies),S1,http://journal.stainkudus.ac.id/index.php/QIJIS
29,Atom Indonesia,S1,http://aij.batan.go.id
30,"AGRIVITA, Journal of Agricultural Science (AJAS)",S1,https://agrivita.ub.ac.id/index.php/agrivita
31,HAYATI Journal of Biosciences,S1,http://journal.ipb.ac.id/index.php/hayati/
32,Journal of Degraded and Mining Lands Management,S1,http://jdmlm.ub.ac.id/index.php/jdmlm/index
33,JSP (Jurnal Ilmu Sosial dan Ilmu Politik),S1,https://jurnal.ugm.ac.id/index.php/jsp
34,Indonesian Journal of Chemistry,S1,https://jurnal.ugm.ac.id/ijc
35,BIOTROPIA,S1,http://journal.biotrop.org/index.php/biotropia
36,Indonesian Journal of Biotechnology,S1,https://jurnal.ugm.ac.id/ijbiotech/
37,Al-Jami'ah: Journal of Islamic Studies,S1,http://www.aljamiah.or.id
38,Bulletin of Chemical Reaction Engineering & Catalysis,S1,https://ejournal2.undip.ac.id/index.php/bcrec
39,Journal of Regional and City Planning,S1,http://journals.itb.ac.id/index.php/jpwk
40,Indonesian Journal of Forestry Research,S1,http://ejournal.forda-mof.org/ejournal-litbang/index.php/IJFR
41,Indonesian Journal of Geography,S1,http://jurnal.ugm.ac.id/ijg/
42,The Indonesian Biomedical Journal,S1,http://inabj.org/index.php/ibj
43,Medical Journal of Indonesia,S1,http://mji.ui.ac.id/journal/index.php/mji
44,Indonesian Aquaculture Journal,S1,http://ejournal-balitbang.kkp.go.id/index.php/iaj
45,"Wacana, Journal of the Humanities of Indonesia",S1,http://wacana.ui.ac.id
46,Molekul : Jurnal Ilmiah Kimia,S1,https://ojs.jmolekul.com/ojs/index.php/jm
47,SAINS TANAH - Journal of Soil Science and Agroclimatology,S1,http://jurnal.fp.uns.ac.id/index.php/tanah/index
48,Journal of Indonesian Islam,S1,http://jiis.uinsby.ac.id/index.php/JIIs/index
49,Indonesian Journal of Pharmacy ,S1,http://indonesianjpharm.farmasi.ugm.ac.id/index.php/3
50,TEFLIN Journal,S1,http://journal.teflin.org/index.php/journal
51,International Journal of Power Electronics and Drive Systems,S1,http://iaesjournal.com/online/index.php/IJPEDS
52,International Journal on Electrical Engineering and Informatics,S1,http://www.ijeei.org/
53,Kesmas: Jurnal Kesehatan Masyarakat Nasional,S1,http://journal.fkm.ui.ac.id/kesmas/issue/archive
54,ACTA MEDICA INDONESIANA,S1,http://www.actamedindones.org/index.php/ijim
55,Jurnal Manajemen Hutan Tropika,S1,http://journal.ipb.ac.id/index.php/jmht/
56,Microbiology Indonesia,S1,http://jurnal.permi.or.id/index.php/mionline
57,Journal of ICT Research and Applications,S1,http://journals.itb.ac.id/index.php/jictra/index
